,Date,Hour,Offense Type,Beat,Premise,Type,Suffix,Offenses,address
4007,01/04/2018,13,Theft,18F50,Apartment Parking Lot,BLVD,-,1,"7500 BELLAIRE BLVD,Houston, TX"
4008,01/05/2018,9,Theft,18F50,Commercial Parking Lot or Garage,-,-,1,"9500 PAGEWOOD LN,Houston, TX"
4009,01/05/2018,15,AutoTheft,18F50,Apartment Parking Lot,ST,-,1,"3400 OCEE ST,Houston, TX"
4010,01/05/2018,16,Robbery,18F50,"Road, Street, or Sidewalk",-,-,1,"7500 HORNWOOD DR,Houston, TX"
4011,01/05/2018,16,Theft,18F50,Grocery Store or Supermarket Parking Lot,RD,-,1,"9600 WESTHEIMER RD,Houston, TX"
4012,01/06/2018,14,Theft,18F50,Apartment,-,-,1,"7600 MOONMIST DR,Houston, TX"
4013,01/06/2018,13,Theft,18F50,Apartment Parking Lot,RD,-,1,"5900 FONDREN RD,Houston, TX"
4014,01/06/2018,21,AutoTheft,18F50,Other Parking Lot,ST,-,1,"6500 BISSONNET,Houston, TX"
4015,01/06/2018,10,Theft,18F50,Apartment Parking Lot,RD,-,1,"5900 FONDREN RD,Houston, TX"
4016,01/06/2018,4,Theft,18F50,Apartment Parking Lot,-,-,1,"6200 MARINETTE DR,Houston, TX"
4017,01/06/2018,7,Theft,18F50,Apartment Parking Lot,-,-,1,"6100 MARINETTE DR,Houston, TX"
4018,01/06/2018,0,Theft,18F50,"Amusement Park, Bowling Alley, Skate Rink",-,-,1,"6900 SOUTHWEST FWY OB,Houston, TX"
4019,01/07/2018,9,Theft,18F50,Bar or Night Club Parking Lot,-,-,1,"8900 RICHMOND AVE,Houston, TX"
4020,01/07/2018,4,Theft,18F50,Bar or Night Club Parking Lot,-,-,1,"8900 RICHMOND AVE,Houston, TX"
4021,01/08/2018,20,Robbery,18F50,Apartment Parking Lot,-,-,1,"6200 MARINETTE DR,Houston, TX"
4022,01/09/2018,11,Rape,18F50,Mall Common Area,-,-,1,"7500 BELLAIRE,Houston, TX"
4023,01/09/2018,15,Burglary,18F50,Apartment,-,-,1,"7200 CLAREWOOD DR,Houston, TX"
4024,01/09/2018,12,Theft,18F50,Commercial Parking Lot or Garage,-,-,1,"6100 SAVOY DR,Houston, TX"
4025,01/09/2018,10,Robbery,18F50,Sexually Oriented Club,ST,-,1,"1100 CAMPO ROSA,Houston, TX"
4026,01/10/2018,16,Theft,18F50,Apartment Parking Lot,-,-,1,"7600 BELLERIVE DR,Houston, TX"
4027,01/10/2018,22,Robbery,18F50,Convenience Store,DR,-,1,"7600 CLAREWOOD,Houston, TX"
4028,01/10/2018,20,Robbery,18F50,"Road, Street, or Sidewalk",-,-,1,"7600 HARWIN DR,Houston, TX"
4029,01/11/2018,0,Aggravated Assault,18F50,Convenience Store,RD,-,1,"6600 FONDREN,Houston, TX"
4030,01/11/2018,7,Theft,18F50,"Road, Street, or Sidewalk",-,-,1,"9600 PAGEWOOD LN,Houston, TX"
4031,01/11/2018,9,AutoTheft,18F50,Commercial Parking Lot or Garage,RD,-,1,"3700 S GESSNER RD,Houston, TX"
4032,01/11/2018,18,Theft,18F50,Clothing Store,-,-,1,"200 SHARPSTOWN CENTER,Houston, TX"
4033,01/11/2018,18,AutoTheft,18F50,Miscellaneous Business (Non-Specific),-,-,1,"7500 HORNWOOD DR,Houston, TX"
4034,01/11/2018,13,AutoTheft,18F50,"Road, Street, or Sidewalk",-,-,1,"7500 HORNWOOD DR,Houston, TX"
4035,01/11/2018,14,AutoTheft,18F50,Mall Parking Lot,-,-,1,"200 SHARPSTOWN CENTER,Houston, TX"
4036,01/12/2018,10,Theft,18F50,Body Shop,AVE,-,1,"9200 RICHMOND,Houston, TX"
4037,01/12/2018,8,AutoTheft,18F50,Apartment Parking Lot,-,-,1,"9600 RICHMOND AVE,Houston, TX"
4038,01/12/2018,23,Robbery,18F50,"Road, Street, or Sidewalk",-,-,1,"7600 DE MOSS DR,Houston, TX"
4039,01/12/2018,21,Theft,18F50,Restaurant or Cafeteria Parking Lot,-,-,1,"5900 HILLCROFT AVE,Houston, TX"
4040,01/12/2018,22,Theft,18F50,Other Parking Lot,RD,-,1,"9600 WESTHEIMER RD,Houston, TX"
4041,01/12/2018,22,Theft,18F50,Restaurant or Cafeteria Parking Lot,-,-,1,"5900 HILLCROFT AVE,Houston, TX"
4042,01/12/2018,14,Theft,18F50,Restaurant or Cafeteria Parking Lot,CT,-,1,"3300 STILL MEADOW,Houston, TX"
4043,01/12/2018,16,Burglary,18F50,Condominium,BLVD,-,1,"21500 PROVINCIAL,Houston, TX"
4044,01/13/2018,12,Theft,18F50,"Electronics Store, Electrical Supplies",RD,-,1,"3200 FONDREN,Houston, TX"
4045,01/13/2018,10,Theft,18F50,Apartment Parking Lot,DR,-,1,"6100 MARINETTE,Houston, TX"
4046,01/13/2018,9,Theft,18F50,Apartment Parking Lot,DR,-,1,"7600 BELLERIVE,Houston, TX"
4047,01/13/2018,14,Theft,18F50,Other Parking Lot,RD,-,1,"9600 WESTHEIMER RD,Houston, TX"
4048,01/13/2018,19,Burglary,18F50,Apartment,-,-,1,"9200 PAGEWOOD LN,Houston, TX"
4049,01/13/2018,17,Theft,18F50,Mall Common Area,-,-,1,"100 SHARPSTOWN CENTER,Houston, TX"
4050,01/14/2018,11,Theft,18F50,Commercial Parking Lot or Garage,-,-,1,"6400 SOUTHWEST FWY OB,Houston, TX"
4051,01/15/2018,20,Theft,18F50,"Road, Street, or Sidewalk",-,-,1,"7300 REGENCY SQUARE CT,Houston, TX"
4052,01/15/2018,19,Robbery,18F50,Specialty Store (Non-Specific),RD,-,1,"9500 WESTHEIMER,Houston, TX"
4053,01/15/2018,21,Theft,18F50,Restaurant or Cafeteria Parking Lot,-,-,1,"5900 HILLCROFT AVE,Houston, TX"
4054,01/15/2018,17,Burglary,18F50,Apartment,-,-,1,"7100 BELLERIVE DR,Houston, TX"
4055,01/15/2018,11,AutoTheft,18F50,"Road, Street, or Sidewalk",-,-,1,"7500 CLAREWOOD DR,Houston, TX"
4056,01/15/2018,12,Aggravated Assault,18F50,Commercial Parking Lot or Garage,DR,-,1,"2900 ROLIDO,Houston, TX"
4057,01/15/2018,8,Theft,18F50,Hotel or Motel Parking Lot,-,-,1,"6700 PO BOX 5005,Houston, TX"
4058,01/17/2018,23,Burglary,18F50,Bar or Night Club,-,-,1,"9500 DEERING DR 402,Houston, TX"
4059,01/18/2018,1,Robbery,18F50,"Road, Street, or Sidewalk",LN,-,1,"17900 SUNSHINE TRACE,Houston, TX"
4060,01/18/2018,7,Theft,18F50,Apartment Parking Lot,-,-,1,"9000 RICHMOND AVE,Houston, TX"
4061,01/18/2018,9,AutoTheft,18F50,Vehicle/Auto Sales/Lease/Auto Parts Store,RD,-,1,"6500 FONDREN,Houston, TX"
4062,01/18/2018,10,Rape,18F50,Miscellaneous Business (Non-Specific),BLVD,-,1,"7200 REGENCY SQUARE BLVD,Houston, TX"
4063,01/18/2018,11,Robbery,18F50,Mall Parking Lot,BLVD,-,1,"7500 BELLAIRE BLVD,Houston, TX"
4064,01/18/2018,14,Theft,18F50,Apartment Parking Lot,-,-,1,"6200 MARINETTE DR,Houston, TX"
4065,01/18/2018,17,Theft,18F50,Department or Discount Store,-,-,1,"6700 HARWIN DR,Houston, TX"
4066,01/18/2018,13,Burglary,18F50,Apartment,RD,-,1,"5900 FONDREN RD,Houston, TX"
4067,01/18/2018,14,Burglary,18F50,Apartment,ST,-,1,"3400 OCEE ST,Houston, TX"
4068,01/19/2018,17,Burglary,18F50,Apartment,ST,-,1,"3400 OCEE ST,Houston, TX"
4069,01/19/2018,16,Theft,18F50,Restaurant or Cafeteria,RD,-,1,"3800 FONDREN,Houston, TX"
4070,01/19/2018,10,Theft,18F50,Residence or House,-,-,1,"3500 OCEE,Houston, TX"
4071,01/19/2018,23,Robbery,18F50,Other Parking Lot,-,-,1,"2700 WESTERLAND DR,Houston, TX"
4072,01/19/2018,23,Theft,18F50,Mall Parking Lot,-,-,1,"700 SHARPSTOWN CENTER,Houston, TX"
4073,01/20/2018,2,Burglary,18F50,Miscellaneous Business (Non-Specific),ST,-,1,"6900 SOUTHWEST,Houston, TX"
4074,01/20/2018,15,Theft,18F50,Commercial Parking Lot or Garage,BLVD,-,1,"7500 BELLAIRE BLVD,Houston, TX"
4075,01/20/2018,16,Theft,18F50,Other Parking Lot,-,-,1,"2700 WESTERLAND DR,Houston, TX"
4076,01/20/2018,12,Theft,18F50,Department or Discount Store,BLVD,-,1,"7500 BELLAIRE,Houston, TX"
4077,01/20/2018,10,Burglary,18F50,Vehicle/Auto Sales/Lease/Auto Parts Store,AVE,-,1,"8700 RICHMOND,Houston, TX"
4078,01/20/2018,23,Theft,18F50,Service or Gas Station,RD,-,1,"9600 WESTHEIMER,Houston, TX"
4079,01/21/2018,4,Aggravated Assault,18F50,Apartment,ST,-,1,"3500 TANGLEWILDE,Houston, TX"
4080,01/21/2018,14,AutoTheft,18F50,Mall Parking Lot,-,-,1,"200 SHARPSTOWN CENTER,Houston, TX"
4081,01/22/2018,1,Theft,18F50,Service or Gas Station,DR,-,1,"9800 WESTPARK,Houston, TX"
4082,01/22/2018,0,Aggravated Assault,18F50,Bar or Night Club,LN,-,1,"15200 SUMMERLYN POINT,Houston, TX"
4083,01/22/2018,13,AutoTheft,18F50,"Other, Unknown, or Not Listed",-,-,1,"6300 TEAL MIST LANE,Houston, TX"
4084,01/22/2018,12,AutoTheft,18F50,Apartment Parking Lot,ST,-,1,"3400 OCEE ST,Houston, TX"
4085,01/22/2018,21,Theft,18F50,"Road, Street, or Sidewalk",-,-,1,"2700 ROCKYRIDGE DR,Houston, TX"
4086,01/22/2018,20,Robbery,18F50,"Hotel, Motel, Inn, Etc.",DR,-,1,"9800 UNITED,Houston, TX"
4087,01/22/2018,16,Theft,18F50,Commercial Building,DR,-,1,"6900 HARWIN,Houston, TX"
4088,01/23/2018,7,Theft,18F50,Apartment Parking Lot,RD,-,1,"5900 BONHOMME RD,Houston, TX"
4089,01/23/2018,13,Theft,18F50,Miscellaneous Business (Non-Specific),ST,-,1,"7300 SOUTHWEST,Houston, TX"
4090,01/24/2018,15,Burglary,18F50,Apartment,RD,-,1,"3200 GESSNER RD,Houston, TX"
4091,01/24/2018,13,Theft,18F50,Apartment Parking Lot,RD,-,1,"5900 FONDREN RD,Houston, TX"
4092,01/24/2018,12,Theft,18F50,"Road, Street, or Sidewalk",CT,-,1,"10900 LOCH BEND,Houston, TX"
4093,01/24/2018,10,Theft,18F50,Construction Site,DR,-,1,"5800 PARKERBURG,Houston, TX"
4094,01/25/2018,14,Theft,18F50,Department or Discount Store,AVE,-,1,"5700 HILLCROFT,Houston, TX"
4095,01/25/2018,13,Burglary,18F50,Apartment,RD,-,1,"3200 GESSNER RD,Houston, TX"
4096,01/27/2018,11,Theft,18F50,Auto Repair,DR,-,1,"9200 WESTPARK,Houston, TX"
4097,01/27/2018,11,AutoTheft,18F50,Bar or Night Club,RD,-,1,"3300 FONDREN RD,Houston, TX"
4098,01/27/2018,16,Theft,18F50,Other Parking Lot,RD,-,1,"9500 WESTHEIMER RD,Houston, TX"
4099,01/27/2018,12,Theft,18F50,Service or Gas Station,RD,-,1,"6800 FONDREN RD,Houston, TX"
4100,01/27/2018,13,Theft,18F50,Strip Business Center Parking Lot,-,-,1,"7500 HARWIN DR,Houston, TX"
4101,01/28/2018,19,Theft,18F50,Restaurant or Cafeteria,DR,-,1,"7600 CLAREWOOD,Houston, TX"
